"CD","SEX","AGE_CAT_EDUC","LHS - 111 - 112 (2010 - 2012)","HS - 111 - 112 (2010 - 2012)","SCAD - 111 - 112 (2010 - 2012)","LHS - 113 - 114 (2013 - 2015)","HS - 113 - 114 (2013 - 2015)","SCAD - 113 - 114 (2013 - 2015)"
"CD 10","Male","35 to 44 years",2.47183908045977,2.17997257727226,1.43068607068607,12.1806798470363,9.66236110019646,10.0405786619361
"CD 11","Male","35 to 44 years",2.19908411665462,2.94697847544375,1.27065377176015,11.9854896848138,3.353460472103,2.67027502774695
"CD 12","Male","35 to 44 years",4.56230387427845,7.52285079610872,2.09435555946206,12.3699750170338,4.44975490196078,3.38862835678122
"CD 13","Male","35 to 44 years",10.2733869033102,6.78910341601218,1.18238716590325,8.44825561253317,7.83858005811121,3.24810977165357
"CD 14","Male","35 to 44 years",6.66890961025638,4.49694161957104,2.10618538842325,6.35689093868692,8.45713506025958,1.86541676618104
"CD 15","Male","35 to 44 years",1.78240430386898,3.9630309323442,0.840433387204273,6.62040639861651,6.77083151361977,5.74769161474364
"CD 16","Male","35 to 44 years",4.70944439059793,3.6841455159731,1.73392387503744,3.79416230808166,3.70323203934657,1.64794475904592
"CD 17","Male","35 to 44 years",7.64847077042199,11.2128411526695,3.79872310629067,5.03713082114736,4.27020870095052,2.03853543493889
"CD 18","Male","35 to 44 years",7.34112059650018,7.11640977810695,2.30824201731169,11.6961486789073,10.7920286177992,2.90050090811286
"CD 19","Male","35 to 44 years",3.59025888547609,2.26584744877257,1.20419844264269,NA,NA,NA
"CD 01","Female","35 to 44 years",2.23890714391081,3.46453784630005,1.22019191220475,8.21733607164301,7.91701900875197,4.47455714471819
"CD 02","Female","35 to 44 years",3.14075427140184,3.74737163845062,1.18899465386805,7.56698939393939,7.21802407557355,4.27731927021436
"CD 03","Female","35 to 44 years",3.71782178217822,3.17186484730344,2.71884334118794,2.95699252939084,4.15389315407372,1.85586005381689
"CD 04","Female","35 to 44 years",3.35211015736767,7.12805399752828,2.09356208025869,7.10829817158931,3.361336889785,2.42811645870469
"CD 05","Female","35 to 44 years",2.40464916056823,1.48739939928175,0.652017858706119,1.92535967844934,4.47531265778181,1.68834644314302
"CD 06","Female","35 to 44 years",3.64697731480169,3.62289851193242,0.786824335315597,10.339139576223,11.8812327375887,5.14614882929139
"CD 07","Female","35 to 44 years",6.7753449310138,6.15242332949108,3.85708131018788,4.59632509602399,11.3365391786905,5.43596055210477
"CD 08","Female","35 to 44 years",2.74958333333333,5.39150224293007,2.7382737484928,9.55582422203532,8.48851326111319,1.28213748354335
"CD 09","Female","35 to 44 years",5.61812410615675,6.64859902446338,3.10526998165869,4.20678762180669,4.44124035245555,1.96868572485891
"CD 10","Female","35 to 44 years",4.02432296190785,1.28898899183654,0.628612820234249,24.2477844435202,23.1011382747378,10.2106606074878
"CD 11","Female","35 to 44 years",1.58369938758029,2.83783853427388,1.17482502681509,2.62391586972613,2.53592184988253,1.92287628030954
"CD 12","Female","35 to 44 years",3.63166667782933,2.10353087749269,1.38466331549855,2.37570103281608,4.49663268416956,1.61648754701296
"CD 13","Female","35 to 44 years",5.45957137040089,4.16345309805394,1.13913768031352,3.44147345880508,3.88139678286107,1.67580708532323
"CD 14","Female","35 to 44 years",5.49808332310624,5.97529555443531,3.12216824900415,7.46670327084477,8.60622594714787,3.56243450925603
"CD 15","Female","35 to 44 years",4.18762183235867,4.48715942204403,1.82174733405415,6.76507342342342,6.58295176606833,3.07050247288503
"CD 16","Female","35 to 44 years",3.3752243737726,3.05147005362541,1.28458374804735,5.10198403648803,7.96190337487747,1.62881822889694
"CD 17","Female","35 to 44 years",3.0746963244268,3.08263194920794,1.2212421213984,3.00049267424284,3.7034354032163,1.237295911011
"CD 18","Female","35 to 44 years",3.58383653602152,10.6058203297863,2.17189722947991,6.17114201581693,3.88157114558761,2.84119035284637
"CD 19","Female","35 to 44 years",Inf,Inf,Inf,NA,NA,NA
"CD 01","Male","45 to 64 years",1.67184413522014,3.7506878022155,0.906823802836103,5.2252668065967,6.33792726190114,3.64186743947439
"CD 02","Male","45 to 64 years",2.36926218930106,3.47700110586627,1.41936564314676,4.27612513274885,4.23775419382877,1.02131828513206
"CD 03","Male","45 to 64 years",1.36825438217734,1.08973029841503,0.711420334480961,3.15879583392781,3.47908745247148,1.71812968681076
"CD 04","Male","45 to 64 years",4.49098108816359,4.46940605111077,1.17601015448643,1.95824209169662,1.80206475106656,0.979801165850899
"CD 05","Male","45 to 64 years",2.09254025527294,1.21653983559313,0.895142528858494,3.57357259380098,2.39340554203775,1.89513699466678
"CD 06","Male","45 to 64 years",3.76653042370064,3.51640157694365,0.815115569108071,6.20965360137193,2.2386425295923,1.7678322823837
"CD 07","Male","45 to 64 years",3.91995004254102,5.74618906793412,2.14257794158235,7.59884064963397,5.02260811418512,3.49519180203289
"CD 08","Male","45 to 64 years",4.97767694344143,3.4225146700971,1.55134687675356,2.41274269136353,2.62232058939454,1.76088797680706
"CD 09","Male","45 to 64 years",2.25392373349307,2.37155577518496,1.01113804323893,2.61375343308447,1.93019688582199,0.903288491484904
"CD 10","Male","45 to 64 years",2.15959798994975,2.30688656902381,1.33003551074365,2.21729669551136,2.89876704831496,1.22851938970943
"CD 11","Male","45 to 64 years",3.99948942601272,4.74627313842291,1.74032989173501,1.63514528593886,1.80528957553056,0.901972789268854
"CD 12","Male","45 to 64 years",2.66055125355695,2.30506296660362,1.33626142252989,4.94914274935157,2.90416925019236,2.45654038059101
"CD 13","Male","45 to 64 years",4.56544533149222,4.13566644075764,1.5630725951875,2.1271548554569,2.51153156059506,1.65038688846417
"CD 14","Male","45 to 64 years",1.82837020334078,2.30191385638295,0.852139097282249,2.27526393017578,2.7962003855794,1.08076627381158
"CD 15","Male","45 to 64 years",1.97428099462501,2.39334016603272,1.53717456916526,2.33621170916581,1.8132304686474,1.55370650468338
"CD 16","Male","45 to 64 years",3.52593394624019,5.04526541535351,1.81819651613192,7.60409429079359,5.11688407900119,3.39065555005372
"CD 17","Male","45 to 64 years",2.25597513156845,2.63791591665307,1.40150551979554,2.14250041546317,2.37204539737131,0.877602551596837
"CD 18","Male","45 to 64 years",4.48071155161698,3.7314468263957,1.41683603692259,3.58946155339725,4.429068558418,2.17098176443867
"CD 19","Male","45 to 64 years",3.15002378390013,2.45777666650316,1.19510005130836,NA,NA,NA
"CD 01","Female","45 to 64 years",1.12208748947311,1.97214200778777,0.901925817553736,3.02601920626773,3.85803747508923,1.95096654019071
"CD 02","Female","45 to 64 years",2.4203295362576,2.29492026208382,1.21897305741203,4.8013215886914,7.05281680493461,2.59959220894857
"CD 03","Female","45 to 64 years",5.28006356704143,2.39423538797788,2.25665098919473,4.55906176903751,3.8560869685563,1.23523491514115
"CD 04","Female","45 to 64 years",2.47105788423154,5.05869110194896,2.48612101335615,2.74809034571771,2.53986062079262,1.05404443775176
"CD 05","Female","45 to 64 years",11.0006699062065,5.2191941766,3.2382176323016,5.94412406742194,3.50124985739826,2.08867840094211
"CD 06","Female","45 to 64 years",2.11097232862849,4.07308342368795,0.855110684091577,4.57793852733228,3.62897784441799,2.77974933615297
"CD 07","Female","45 to 64 years",2.48893185114264,3.42769072057636,1.32564873834912,2.39991608729446,2.49234021874153,1.69656088331896
"CD 08","Female","45 to 64 years",3.55312951135198,2.35140118051662,0.908356250756101,3.72872502201699,4.15723800040392,1.68720294587418
"CD 09","Female","45 to 64 years",0.451105589755411,1.17680103884302,1.10131695346033,2.81350823594167,3.24360684505113,1.45198367053107
"CD 10","Female","45 to 64 years",1.96602894844984,1.38333029910365,1.0655759318208,1.47050235072797,1.45215745301264,0.594807083737866
"CD 11","Female","45 to 64 years",1.16089600623987,2.26453894386497,1.58217578310908,5.2084194300098,4.36595330920909,2.67761219111976
"CD 12","Female","45 to 64 years",2.56231922088429,1.58776632065784,0.706559994140273,2.63605996222852,3.05623898876599,1.61688357435917
"CD 13","Female","45 to 64 years",2.94444490456985,2.44443836163952,1.77419212688106,2.95671534551324,4.31096506929877,1.46679300609892
"CD 14","Female","45 to 64 years",4.22754081942194,2.09374709567921,1.1774196417253,4.00575803396909,4.33223903531771,2.0221411461264
"CD 15","Female","45 to 64 years",0.768053578063359,1.58502186823122,0.998918772653725,1.74991194836862,1.84413044376897,0.826149275821108
"CD 16","Female","45 to 64 years",1.54107329538884,1.9903816805916,1.38418618832558,2.81411625332936,2.38076308192075,1.62414678327935
"CD 17","Female","45 to 64 years",3.12539832033403,3.05880256400266,0.925249295806336,1.64564984346021,2.32931151885952,0.808314236909193
"CD 18","Female","45 to 64 years",3.87962051856363,2.40933586774682,1.19392396210032,3.41441157120236,4.04781555820112,1.50358841519923
"CD 19","Female","45 to 64 years",2.05560433128475,3.6035943718593,2.53413810591419,NA,NA,NA
