"RACEHISP","mean","mean_CD116","sd","sd_CD116"
"Hispanic",0.380433899841335,0.491456183574694,0.283009172057767,0.375906742308146
"Non-Hispanic Black",0.80812899270437,1.12067045163186,0.390133210300169,0.359095141114648
"Non-Hispanic Asian American Pacific Islander",-0.611428902294688,-0.620402015332271,0.661548242460045,0.624457365624241
"Non-Hispanic Other",1.01972562499792,1.00752053122788,0.61658205409052,0.49293355743978
