county,tract,cd116,cntyname,pop10,afact116
42001,301.01,13,Adams PA,2580,1
42001,301.02,13,Adams PA,5780,1
42001,302,13,Adams PA,5500,1
42001,303,13,Adams PA,4156,1
42001,304,13,Adams PA,5829,1
42001,305,13,Adams PA,3767,1
42001,306,13,Adams PA,4928,1
42001,307,13,Adams PA,6493,1
42001,308,13,Adams PA,7451,1
42001,309,13,Adams PA,7300,1
42001,310,13,Adams PA,1781,1
42001,311.01,13,Adams PA,5163,1
42001,311.02,13,Adams PA,3179,1
42001,312.01,13,Adams PA,3670,1
42001,312.02,13,Adams PA,2700,1
42001,312.03,13,Adams PA,3148,1
42001,313,13,Adams PA,4434,1
42001,314.01,13,Adams PA,3975,1
42001,314.02,13,Adams PA,2187,1
42001,315.01,13,Adams PA,3315,1
42001,315.02,13,Adams PA,4305,1
42001,316,13,Adams PA,6887,1
42001,317,13,Adams PA,2879,1
42003,103,18,Allegheny PA,6600,1
42003,201,18,Allegheny PA,3629,1
42003,203,18,Allegheny PA,616,1
42003,305,18,Allegheny PA,2256,1
42003,402,18,Allegheny PA,2604,1
42003,404,18,Allegheny PA,2488,1
42003,405,18,Allegheny PA,3694,1
42003,406,18,Allegheny PA,2392,1
42003,409,18,Allegheny PA,2969,1
42003,501,18,Allegheny PA,1707,1
42003,506,18,Allegheny PA,2057,1
42003,509,18,Allegheny PA,1202,1
42003,510,18,Allegheny PA,2106,1
42003,511,18,Allegheny PA,1122,1
42003,603,18,Allegheny PA,2341,1
42003,605,18,Allegheny PA,1274,1
42003,703,18,Allegheny PA,2197,1
42003,705,18,Allegheny PA,2997,1
42003,706,18,Allegheny PA,2082,1
42003,708,18,Allegheny PA,1705,1
42003,709,18,Allegheny PA,4934,1
42003,802,18,Allegheny PA,1679,1
42003,804,18,Allegheny PA,1369,1
42003,806,18,Allegheny PA,1998,1
42003,807,18,Allegheny PA,1785,1
42003,809,18,Allegheny PA,1767,1
42003,901,18,Allegheny PA,1843,1
42003,902,18,Allegheny PA,2635,1
42003,903,18,Allegheny PA,1629,1
42003,1005,18,Allegheny PA,2079,1
42003,1011,18,Allegheny PA,2669,1
42003,1014,18,Allegheny PA,3346,1
42003,1016,18,Allegheny PA,857,1
42003,1017,18,Allegheny PA,1465,1
42003,1018,18,Allegheny PA,2522,1
42003,1102,18,Allegheny PA,3971,1
42003,1106,18,Allegheny PA,2406,1
42003,1113,18,Allegheny PA,2639,1
42003,1114,18,Allegheny PA,1353,1
42003,1115,18,Allegheny PA,3230,1
42003,1203,18,Allegheny PA,1650,1
42003,1204,18,Allegheny PA,869,1
42003,1207,18,Allegheny PA,818,1
42003,1208,18,Allegheny PA,859,1
42003,1301,18,Allegheny PA,1910,1
42003,1302,18,Allegheny PA,1370,1
42003,1303,18,Allegheny PA,1153,1
42003,1304,18,Allegheny PA,1191,1
42003,1306,18,Allegheny PA,3169,1
42003,1401,18,Allegheny PA,5476,1
42003,1402,18,Allegheny PA,2447,1
42003,1403,18,Allegheny PA,3440,1
42003,1404,18,Allegheny PA,2306,1
42003,1405,18,Allegheny PA,2054,1
42003,1406,18,Allegheny PA,3002,1
42003,1408,18,Allegheny PA,4554,1
42003,1410,18,Allegheny PA,928,1
42003,1411,18,Allegheny PA,1361,1
42003,1413,18,Allegheny PA,5177,1
42003,1414,18,Allegheny PA,5351,1
