county,tract,cd111,cntyname,pop10,afact111
42001,301.01,19,Adams PA,2580,1
42001,301.02,19,Adams PA,5780,1
42001,302,19,Adams PA,5500,1
42001,303,19,Adams PA,4156,1
42001,304,19,Adams PA,5829,1
42001,305,19,Adams PA,3767,1
42001,306,19,Adams PA,4928,1
42001,307,19,Adams PA,6493,1
42001,308,19,Adams PA,7451,1
42001,309,19,Adams PA,7300,1
42001,310,19,Adams PA,1781,1
42001,311.01,19,Adams PA,5163,1
42001,311.02,19,Adams PA,3179,1
42001,312.01,19,Adams PA,3670,1
42001,312.02,19,Adams PA,2700,1
42001,312.03,19,Adams PA,3148,1
42001,313,19,Adams PA,4434,1
42001,314.01,19,Adams PA,3975,1
42001,314.02,19,Adams PA,2187,1
42001,315.01,19,Adams PA,3315,1
42001,315.02,19,Adams PA,4305,1
42001,316,19,Adams PA,6887,1
42001,317,19,Adams PA,2879,1
42003,103,14,Allegheny PA,6600,1
42003,201,14,Allegheny PA,3629,1
42003,203,14,Allegheny PA,616,1
42003,305,14,Allegheny PA,2256,1
42003,402,14,Allegheny PA,2604,1
42003,404,14,Allegheny PA,2488,1
42003,405,14,Allegheny PA,3694,1
42003,406,14,Allegheny PA,2392,1
42003,409,14,Allegheny PA,2969,1
42003,501,14,Allegheny PA,1707,1
42003,506,14,Allegheny PA,2057,1
42003,509,14,Allegheny PA,1202,1
42003,510,14,Allegheny PA,2106,1
42003,511,14,Allegheny PA,1122,1
42003,603,14,Allegheny PA,2341,1
42003,605,14,Allegheny PA,1274,1
42003,703,14,Allegheny PA,2197,1
42003,705,14,Allegheny PA,2997,1
42003,706,14,Allegheny PA,2082,1
42003,708,14,Allegheny PA,1705,1
42003,709,14,Allegheny PA,4934,1
42003,802,14,Allegheny PA,1679,1
42003,804,14,Allegheny PA,1369,1
42003,806,14,Allegheny PA,1998,1
42003,807,14,Allegheny PA,1785,1
42003,809,14,Allegheny PA,1767,1
42003,901,14,Allegheny PA,1843,1
42003,902,14,Allegheny PA,2635,1
42003,903,14,Allegheny PA,1629,1
42003,1005,14,Allegheny PA,2079,1
42003,1011,14,Allegheny PA,2669,1
42003,1014,14,Allegheny PA,3346,1
42003,1016,14,Allegheny PA,857,1
42003,1017,14,Allegheny PA,1465,1
42003,1018,14,Allegheny PA,2522,1
42003,1102,14,Allegheny PA,3971,1
42003,1106,14,Allegheny PA,2406,1
42003,1113,14,Allegheny PA,2639,1
42003,1114,14,Allegheny PA,1353,1
42003,1115,14,Allegheny PA,3230,1
42003,1203,14,Allegheny PA,1650,1
42003,1204,14,Allegheny PA,869,1
42003,1207,14,Allegheny PA,818,1
42003,1208,14,Allegheny PA,859,1
42003,1301,14,Allegheny PA,1910,1
42003,1302,14,Allegheny PA,1370,1
42003,1303,14,Allegheny PA,1153,1
42003,1304,14,Allegheny PA,1191,1
42003,1306,14,Allegheny PA,3169,1
42003,1401,14,Allegheny PA,5476,1
42003,1402,14,Allegheny PA,2447,1
42003,1403,14,Allegheny PA,3440,1
42003,1404,14,Allegheny PA,2306,1
42003,1405,14,Allegheny PA,2054,1
42003,1406,14,Allegheny PA,3002,1
42003,1408,14,Allegheny PA,4554,1
42003,1410,14,Allegheny PA,928,1
42003,1411,14,Allegheny PA,1361,1
42003,1413,14,Allegheny PA,5177,1
42003,1414,14,Allegheny PA,5351,1
42003,1516,14,Allegheny PA,2363,1
42003,1517,14,Allegheny PA,4931,1
42003,1608,14,Allegheny PA,2559,1
42003,1609,14,Allegheny PA,2872,1
42003,1702,14,Allegheny PA,3725,1
42003,1706,14,Allegheny PA,1864,1
42003,1803,14,Allegheny PA,2500,1
42003,1807,14,Allegheny PA,2011,1
42003,1903,14,Allegheny PA,1945,1
42003,1911,14,Allegheny PA,2425,1
42003,1914,14,Allegheny PA,2796,1
42003,1915,14,Allegheny PA,2047,1
42003,1916,14,Allegheny PA,4295,1
42003,1917,14,Allegheny PA,3448,1
42003,1918,14,Allegheny PA,5322,1
42003,1919,14,Allegheny PA,2183,1
42003,1920,14,Allegheny PA,3679,1
42003,2022,14,Allegheny PA,2568,1
42003,2023,14,Allegheny PA,4144,1
42003,2107,14,Allegheny PA,2130,1
42003,2206,14,Allegheny PA,1833,1
42003,2406,14,Allegheny PA,2714,1
42003,2412,14,Allegheny PA,884,1
42003,2503,14,Allegheny PA,1090,1
42003,2507,14,Allegheny PA,761,1
42003,2509,14,Allegheny PA,1285,1
42003,2602,14,Allegheny PA,2285,1
42003,2607,14,Allegheny PA,1744,1
42003,2609,14,Allegheny PA,1214,1
42003,2612,14,Allegheny PA,1051,1
42003,2614,14,Allegheny PA,2473,1
42003,2615,14,Allegheny PA,1672,1
42003,2620,14,Allegheny PA,2648,1
42003,2701,14,Allegheny PA,2649,1
42003,2703,14,Allegheny PA,1947,1
42003,2704,14,Allegheny PA,1079,1
42003,2708,14,Allegheny PA,2651,1
42003,2715,14,Allegheny PA,3167,1
42003,2814,14,Allegheny PA,2352,1
42003,2815,14,Allegheny PA,1462,1
42003,2901,14,Allegheny PA,2120,1
42003,2902,14,Allegheny PA,3944,1
42003,2904,14,Allegheny PA,4049,1
42003,3001,14,Allegheny PA,3747,1
42003,3102,14,Allegheny PA,3227,1
42003,3103,14,Allegheny PA,990,1
42003,3204,14,Allegheny PA,1994,1
42003,3206,14,Allegheny PA,2261,1
42003,3207,14,Allegheny PA,1650,1
42003,4011,4,Allegheny PA,4447,1
42003,4012,4,Allegheny PA,3272,1
42003,4013,4,Allegheny PA,2742,1
42003,4020,4,Allegheny PA,3260,1
42003,4035,12,Allegheny PA,4530,1
42003,4040,4,Allegheny PA,590,0.3933
42003,4040,12,Allegheny PA,910,0.6067
42003,4050,4,Allegheny PA,1157,1
42003,4060,4,Allegheny PA,2376,1
42003,4070.01,4,Allegheny PA,5174,1
42003,4070.02,4,Allegheny PA,6597,1
42003,4080.01,4,Allegheny PA,4769,1
42003,4080.02,4,Allegheny PA,6331,1
42003,4090,4,Allegheny PA,11497,1
42003,4100,4,Allegheny PA,1171,1
42003,4110,4,Allegheny PA,6915,1
42003,4120.01,4,Allegheny PA,8605,1
42003,4120.02,4,Allegheny PA,4865,1
42003,4131,4,Allegheny PA,6609,1
42003,4132.01,4,Allegheny PA,3737,1
42003,4132.02,4,Allegheny PA,2866,1
42003,4133,4,Allegheny PA,4742,1
42003,4134,4,Allegheny PA,4339,1
42003,4135,4,Allegheny PA,6164,1
42003,4141.01,4,Allegheny PA,5358,1
42003,4141.02,4,Allegheny PA,7040,1
42003,4142,4,Allegheny PA,5965,1
42003,4150.01,4,Allegheny PA,4708,1
42003,4150.02,4,Allegheny PA,2545,1
42003,4160,4,Allegheny PA,1636,1
42003,4171,4,Allegheny PA,2145,1
42003,4172,4,Allegheny PA,1260,1
42003,4180,4,Allegheny PA,1746,1
42003,4190,4,Allegheny PA,2921,1
42003,4200,14,Allegheny PA,1432,1
42003,4211,4,Allegheny PA,3258,0.7941
42003,4211,14,Allegheny PA,845,0.2059
42003,4212,4,Allegheny PA,4304,1
42003,4220,4,Allegheny PA,5388,1
42003,4230,4,Allegheny PA,2801,1
42003,4240,14,Allegheny PA,3446,1
42003,4250,4,Allegheny PA,1025,0.297
42003,4250,14,Allegheny PA,2426,0.703
42003,4263,4,Allegheny PA,6037,1
42003,4264,4,Allegheny PA,4581,1
42003,4267,4,Allegheny PA,2361,1
42003,4268,4,Allegheny PA,5369,1
42003,4270,14,Allegheny PA,3744,1
42003,4271,4,Allegheny PA,5510,1
42003,4272,4,Allegheny PA,4899,1
42003,4281,14,Allegheny PA,1242,1
42003,4282,14,Allegheny PA,2091,1
42003,4291,4,Allegheny PA,2510,1
42003,4292.01,4,Allegheny PA,4310,1
42003,4292.02,4,Allegheny PA,4365,1
42003,4293,4,Allegheny PA,5644,1
42003,4294,4,Allegheny PA,4265,1
42003,4295,4,Allegheny PA,4212,1
42003,4296,4,Allegheny PA,3428,1
42003,4297,4,Allegheny PA,2371,1
42003,4301,4,Allegheny PA,2104,1
42003,4302,4,Allegheny PA,4667,1
42003,4311,14,Allegheny PA,3380,1
42003,4314,14,Allegheny PA,1902,1
42003,4315,14,Allegheny PA,3088,1
42003,4323,4,Allegheny PA,819,0.3861
42003,4323,14,Allegheny PA,1302,0.6139
42003,4324,14,Allegheny PA,2584,1
42003,4340,4,Allegheny PA,1781,1
42003,4350,4,Allegheny PA,2449,1
42003,4370,4,Allegheny PA,4757,1
42003,4390,4,Allegheny PA,1388,1
42003,4455,4,Allegheny PA,3827,1
42003,4460,4,Allegheny PA,1680,1
42003,4470,4,Allegheny PA,1634,1
42003,4480,4,Allegheny PA,1218,1
42003,4490,18,Allegheny PA,2640,1
42003,4507,14,Allegheny PA,3137,1
42003,4508,14,Allegheny PA,2540,1
42003,4511.01,18,Allegheny PA,3639,1
42003,4511.02,18,Allegheny PA,5627,1
42003,4511.04,18,Allegheny PA,3590,1
42003,4511.05,18,Allegheny PA,4196,1
42003,4513,18,Allegheny PA,7133,1
42003,4520,18,Allegheny PA,5060,1
42003,4530.03,18,Allegheny PA,1893,1
42003,4530.04,18,Allegheny PA,6955,1
42003,4550,18,Allegheny PA,1459,1
42003,4560.01,18,Allegheny PA,3523,1
42003,4560.03,18,Allegheny PA,6101,1
42003,4560.04,18,Allegheny PA,4792,1
42003,4571,18,Allegheny PA,1428,1
42003,4572,18,Allegheny PA,3720,1
42003,4580,18,Allegheny PA,7080,1
42003,4591.01,14,Allegheny PA,1708,1
42003,4591.02,18,Allegheny PA,5658,1
42003,4592.01,18,Allegheny PA,5988,1
42003,4592.02,18,Allegheny PA,661,1
42003,4600.01,14,Allegheny PA,4250,1
42003,4600.02,14,Allegheny PA,3422,1
42003,4610,4,Allegheny PA,331,0.3054
42003,4610,14,Allegheny PA,753,0.6946
42003,4621,14,Allegheny PA,2627,1
42003,4626,14,Allegheny PA,3735,1
42003,4639,14,Allegheny PA,2662,1
42003,4643,14,Allegheny PA,3330,1
42003,4644,14,Allegheny PA,3442,1
42003,4656,14,Allegheny PA,2373,1
42003,4658,14,Allegheny PA,2849,0.7963
42003,4658,18,Allegheny PA,729,0.2037
42003,4687,18,Allegheny PA,1759,1
42003,4688,18,Allegheny PA,2572,1
42003,4689,18,Allegheny PA,3641,1
42003,4690,18,Allegheny PA,4432,1
42003,4703,18,Allegheny PA,3933,1
42003,4704,18,Allegheny PA,3063,1
42003,4705.01,18,Allegheny PA,3954,1
42003,4705.02,18,Allegheny PA,2971,1
42003,4706,18,Allegheny PA,3103,1
42003,4710,18,Allegheny PA,1244,1
42003,4721,18,Allegheny PA,2524,1
42003,4722,18,Allegheny PA,2227,1
42003,4723,18,Allegheny PA,2014,1
