State-County FIPS Code,Select State,Select County,State-County-Tract FIPS Code (lookup by address at http://www.ffiec.gov/Geocode/),Primary RUCA Code 2010,"Secondary RUCA Code, 2010 (see errata)","Tract Population, 2010","Land Area (square miles), 2010","Population Density (per square mile), 2010"
42003,PA,Allegheny County,42003140100,1,1,"5,476",0.6,"9,677.30"
42003,PA,Allegheny County,42003140200,1,1,"2,447",0.3,"8,344.70"
42003,PA,Allegheny County,42003140300,1,1,"3,440",0.4,"9,460.80"
42003,PA,Allegheny County,42003140400,1,1,"2,306",0.3,"7,158.30"
42003,PA,Allegheny County,42003140500,1,1,"2,054",0.3,"7,039.80"
42003,PA,Allegheny County,42003140600,1,1,"3,002",0.3,"8,755.10"
42003,PA,Allegheny County,42003140800,1,1,"4,554",0.4,"10,830.10"
42003,PA,Allegheny County,42003141000,1,1,928,0.2,"4,732.20"
42003,PA,Allegheny County,42003141100,1,1,"1,361",0.5,"2,874.40"
42003,PA,Allegheny County,42003141300,1,1,"5,177",0.3,"14,930.80"
42003,PA,Allegheny County,42003141400,1,1,"5,351",0.8,"6,762.80"
42003,PA,Allegheny County,42003151600,1,1,"2,363",0.3,"7,459.00"
42003,PA,Allegheny County,42003151700,1,1,"4,931",0.5,"10,736.20"
42003,PA,Allegheny County,42003160800,1,1,"2,559",0.4,"6,293.30"
42003,PA,Allegheny County,42003160900,1,1,"2,872",0.5,"5,946.80"
42003,PA,Allegheny County,42003170200,1,1,"3,725",0.4,"8,654.00"
42003,PA,Allegheny County,42003170600,1,1,"1,864",0.3,"5,977.10"
42003,PA,Allegheny County,42003180300,1,1,"2,500",0.3,"8,368.10"
42003,PA,Allegheny County,42003180700,1,1,"2,011",0.2,"13,256.80"
42003,PA,Allegheny County,42003190300,1,1,"1,945",0.3,"6,023.40"
42003,PA,Allegheny County,42003191100,1,1,"2,425",0.6,"3,914.60"
42003,PA,Allegheny County,42003191400,1,1,"2,796",0.4,"7,660.80"
42003,PA,Allegheny County,42003191500,1,1,"2,047",0.3,"6,552.00"
42003,PA,Allegheny County,42003191600,1,1,"4,295",0.9,"4,580.10"
42003,PA,Allegheny County,42003191700,1,1,"3,448",0.7,"4,793.00"
42003,PA,Allegheny County,42003191800,1,1,"5,322",0.6,"9,484.40"
42003,PA,Allegheny County,42003191900,1,1,"2,183",0.2,"9,287.90"
42003,PA,Allegheny County,42003192000,1,1,"3,679",0.5,"6,991.70"
42003,PA,Allegheny County,42003202200,1,1,"2,568",0.3,"7,542.80"
42003,PA,Allegheny County,42003202300,1,1,"4,144",1,"4,257.10"
42003,PA,Allegheny County,42003210700,1,1,"2,130",0.3,"7,629.30"
42003,PA,Allegheny County,42003220600,1,1,"1,833",0.2,"11,069.50"
42003,PA,Allegheny County,42003240600,1,1,"2,714",0.5,"5,736.20"
42003,PA,Allegheny County,42003241200,1,1,884,0.3,"3,355.70"
42003,PA,Allegheny County,42003250300,1,1,"1,090",0.1,"11,582.50"
42003,PA,Allegheny County,42003250700,1,1,761,0.2,"3,517.60"
42003,PA,Allegheny County,42003250900,1,1,"1,285",0.2,"5,171.40"
42003,PA,Allegheny County,42003260200,1,1,"2,285",0.6,"4,136.00"
42003,PA,Allegheny County,42003260700,1,1,"1,744",0.3,"6,722.90"
42003,PA,Allegheny County,42003260900,1,1,"1,214",0.3,"3,872.10"
42003,PA,Allegheny County,42003261200,1,1,"1,051",0.4,"2,573.40"
42003,PA,Allegheny County,42003261400,1,1,"2,473",0.5,"5,284.50"
42003,PA,Allegheny County,42003261500,1,1,"1,672",0.4,"3,728.10"
42003,PA,Allegheny County,42003262000,1,1,"2,648",0.6,"4,165.40"
42003,PA,Allegheny County,42003270100,1,1,"2,649",0.4,"6,595.90"
42003,PA,Allegheny County,42003270300,1,1,"1,947",0.2,"8,343.70"
42003,PA,Allegheny County,42003270400,1,1,"1,079",0.2,"7,065.30"
42003,PA,Allegheny County,42003270800,1,1,"2,651",0.5,"5,403.00"
42003,PA,Allegheny County,42003271500,1,1,"3,167",0.5,"5,996.60"
42003,PA,Allegheny County,42003281400,1,1,"2,352",0.5,"4,583.70"
42003,PA,Allegheny County,42003281500,1,1,"1,462",0.2,"6,136.00"
42003,PA,Allegheny County,42003290100,1,1,"2,120",0.5,"4,325.10"
42003,PA,Allegheny County,42003290200,1,1,"3,944",0.6,"7,025.90"
42003,PA,Allegheny County,42003290400,1,1,"4,049",0.6,"6,525.10"
42003,PA,Allegheny County,42003300100,1,1,"3,747",0.3,"12,511.80"
42003,PA,Allegheny County,42003310200,1,1,"3,227",1,"3,288.00"
42003,PA,Allegheny County,42003310300,1,1,990,0.8,"1,251.70"
42003,PA,Allegheny County,42003320400,1,1,"1,994",0.3,"6,051.30"
42003,PA,Allegheny County,42003320600,1,1,"2,261",0.6,"3,968.80"
42003,PA,Allegheny County,42003320700,1,1,"1,650",0.5,"3,248.90"
42003,PA,Allegheny County,42003401100,1,1,"4,447",5.1,878.8
42003,PA,Allegheny County,42003401200,1,1,"3,272",1,"3,236.20"
42003,PA,Allegheny County,42003401300,1,1,"2,742",1.3,"2,127.10"
42003,PA,Allegheny County,42003402000,1,1,"3,260",0.5,"6,373.40"
42003,PA,Allegheny County,42003403500,1,1,"4,530",1.2,"3,698.30"
42003,PA,Allegheny County,42003404000,1,1,"1,500",2.3,659.9
42003,PA,Allegheny County,42003405000,2,2,"1,157",9.3,123.8
42003,PA,Allegheny County,42003406000,2,2,"2,376",12.9,183.5
42003,PA,Allegheny County,42003407001,1,1,"5,174",18.7,276
42003,PA,Allegheny County,42003407002,1,1,"6,597",10.1,651.9
42003,PA,Allegheny County,42003408001,1,1,"4,769",10.1,471
42003,PA,Allegheny County,42003408002,1,1,"6,331",4.5,"1,405.40"
42003,PA,Allegheny County,42003409000,1,1,"11,497",17,677.8
42003,PA,Allegheny County,42003410000,1,1,"1,171",0.9,"1,316.10"
42003,PA,Allegheny County,42003411000,1,1,"6,915",15.5,447.4
42003,PA,Allegheny County,42003412001,1,1,"8,605",8.7,991.8
42003,PA,Allegheny County,42003412002,1,1,"4,865",4.8,"1,003.80"
42003,PA,Allegheny County,42003413100,1,1,"6,609",6.2,"1,073.20"
42003,PA,Allegheny County,42003413201,1,1,"3,737",1.5,"2,561.70"
42003,PA,Allegheny County,42003413202,1,1,"2,866",1.6,"1,790.30"
42003,PA,Allegheny County,42003413300,1,1,"4,742",2.2,"2,142.70"
42003,PA,Allegheny County,42003413400,1,1,"4,339",1.7,"2,552.50"
42003,PA,Allegheny County,42003413500,1,1,"6,164",3.4,"1,830.30"
42003,PA,Allegheny County,42003414101,1,1,"5,358",3.7,"1,442.00"
42003,PA,Allegheny County,42003414102,1,1,"7,040",7,"1,004.90"
42003,PA,Allegheny County,42003414200,1,1,"5,965",5.5,"1,089.10"
42003,PA,Allegheny County,42003415001,1,1,"4,708",12.6,374.6
42003,PA,Allegheny County,42003415002,1,1,"2,545",5,509.2
42003,PA,Allegheny County,42003416000,1,1,"1,636",2.3,726.2
42003,PA,Allegheny County,42003417100,1,1,"2,145",0.4,"5,056.70"
42003,PA,Allegheny County,42003417200,1,1,"1,260",0.5,"2,473.30"
42003,PA,Allegheny County,42003418000,1,1,"1,746",0.5,"3,773.50"
42003,PA,Allegheny County,42003419000,1,1,"2,921",5.9,496.7
42003,PA,Allegheny County,42003420000,1,1,"1,432",0.3,"4,829.30"
42003,PA,Allegheny County,42003421100,1,1,"4,103",3.4,"1,209.50"
42003,PA,Allegheny County,42003421200,1,1,"4,304",3.6,"1,205.30"
42003,PA,Allegheny County,42003422000,1,1,"5,388",7.9,685
42003,PA,Allegheny County,42003423000,1,1,"2,801",0.4,"7,827.60"
42003,PA,Allegheny County,42003424000,1,1,"3,446",0.5,"6,488.80"
42003,PA,Allegheny County,42003425000,1,1,"3,451",0.7,"4,723.40"
42003,PA,Allegheny County,42003426300,1,1,"6,037",2,"2,998.20"
42003,PA,Allegheny County,42003426400,1,1,"4,581",1.4,"3,390.50"
42003,PA,Allegheny County,42003426700,1,1,"2,361",1.4,"1,631.00"
42003,PA,Allegheny County,42003426800,1,1,"5,369",2,"2,685.40"
42003,PA,Allegheny County,42003427000,1,1,"3,744",0.6,"6,044.30"
42003,PA,Allegheny County,42003427100,1,1,"5,510",2.4,"2,280.90"
42003,PA,Allegheny County,42003427200,1,1,"4,899",1.8,"2,651.10"
42003,PA,Allegheny County,42003428100,1,1,"1,242",0.4,"3,513.30"
42003,PA,Allegheny County,42003428200,1,1,"2,091",1.7,"1,224.70"
42003,PA,Allegheny County,42003429100,1,1,"2,510",2.3,"1,113.80"
42003,PA,Allegheny County,42003429201,1,1,"4,310",1.8,"2,385.80"
42003,PA,Allegheny County,42003429202,1,1,"4,365",1.7,"2,605.30"
42003,PA,Allegheny County,42003429300,1,1,"5,644",3.2,"1,750.40"
42003,PA,Allegheny County,42003429400,1,1,"4,265",1.4,"3,104.30"
42003,PA,Allegheny County,42003429500,1,1,"4,212",1.6,"2,634.80"
42003,PA,Allegheny County,42003429600,1,1,"3,428",1.3,"2,577.40"
42003,PA,Allegheny County,42003429700,1,1,"2,371",1.2,"1,955.10"
42003,PA,Allegheny County,42003430100,1,1,"2,104",0.3,"6,376.40"
42003,PA,Allegheny County,42003430200,1,1,"4,667",0.7,"6,865.90"
42003,PA,Allegheny County,42003431100,1,1,"3,380",0.4,"9,472.00"
42003,PA,Allegheny County,42003431400,1,1,"1,902",0.3,"7,161.70"
42003,PA,Allegheny County,42003431500,1,1,"3,088",0.4,"7,989.00"
42003,PA,Allegheny County,42003432300,1,1,"2,121",0.3,"6,197.90"
42003,PA,Allegheny County,42003432400,1,1,"2,584",0.3,"9,415.30"
42003,PA,Allegheny County,42003434000,1,1,"1,781",0.4,"4,699.90"
42003,PA,Allegheny County,42003435000,1,1,"2,449",0.6,"4,306.80"
42003,PA,Allegheny County,42003437000,1,1,"4,757",6.9,693.6
42003,PA,Allegheny County,42003439000,2,2,"1,388",5.4,258.6
42003,PA,Allegheny County,42003445500,1,1,"3,827",1,"3,829.40"
42003,PA,Allegheny County,42003446000,1,1,"1,680",1.5,"1,122.70"
42003,PA,Allegheny County,42003447000,1,1,"1,634",1.5,"1,088.30"
42003,PA,Allegheny County,42003448000,1,1,"1,218",1,"1,217.60"
42003,PA,Allegheny County,42003449000,1,1,"2,640",2.1,"1,258.70"
42003,PA,Allegheny County,42003450700,1,1,"3,137",0.8,"3,913.40"
42003,PA,Allegheny County,42003450800,1,1,"2,540",0.5,"4,820.90"
42003,PA,Allegheny County,42003451101,1,1,"3,639",2.8,"1,279.30"
42003,PA,Allegheny County,42003451102,1,1,"5,627",2.3,"2,448.50"
42003,PA,Allegheny County,42003451104,1,1,"3,590",3,"1,192.60"
42003,PA,Allegheny County,42003451105,1,1,"4,196",3.7,"1,121.10"
42003,PA,Allegheny County,42003451300,1,1,"7,133",12,593
42003,PA,Allegheny County,42003452000,1,1,"5,060",32.3,156.7
42003,PA,Allegheny County,42003453003,1,1,"1,893",6,315.1
42003,PA,Allegheny County,42003453004,1,1,"6,955",2.9,"2,425.50"
42003,PA,Allegheny County,42003455000,1,1,"1,459",0.5,"3,108.10"
42003,PA,Allegheny County,42003456001,1,1,"3,523",5.6,634.8
42003,PA,Allegheny County,42003456003,1,1,"6,101",12.3,495.3
42003,PA,Allegheny County,42003456004,1,1,"4,792",2.5,"1,904.40"
42003,PA,Allegheny County,42003457100,1,1,"1,428",0.4,"3,927.90"
42003,PA,Allegheny County,42003457200,1,1,"3,720",0.7,"5,079.40"
42003,PA,Allegheny County,42003458000,1,1,"7,080",13.9,510.1
42003,PA,Allegheny County,42003459101,1,1,"1,708",2.4,710.5
42003,PA,Allegheny County,42003459102,1,1,"5,658",3.7,"1,541.70"
